id,nama,kategori,parameter,rentang_saat_ini,sumber(buku/jurnal/FAO EcoCrop),halaman_atau_URL,status(lit/est)
28,"Kale","Sayuran","pH","6 - 7.2",,,est
28,"Kale","Sayuran","Suhu (°C)","15 - 24",,,est
28,"Kale","Sayuran","Kelembaban (%)","50 - 75",,,est
28,"Kale","Sayuran","EC (µS/cm)","700 - 2100",,,est
28,"Kale","Sayuran","Nitrogen (mg/kg)","100 - 260",,,est
28,"Kale","Sayuran","Fosfor (mg/kg)","35 - 100",,,est
28,"Kale","Sayuran","Kalium (mg/kg)","150 - 330",,,est
29,"Kailan","Sayuran","pH","6 - 7",,,est
29,"Kailan","Sayuran","Suhu (°C)","15 - 26",,,est
29,"Kailan","Sayuran","Kelembaban (%)","50 - 75",,,est
29,"Kailan","Sayuran","EC (µS/cm)","700 - 2000",,,est
29,"Kailan","Sayuran","Nitrogen (mg/kg)","95 - 240",,,est
29,"Kailan","Sayuran","Fosfor (mg/kg)","35 - 95",,,est
29,"Kailan","Sayuran","Kalium (mg/kg)","140 - 320",,,est
30,"Kol Bunga","Sayuran","pH","6 - 7",,,est
30,"Kol Bunga","Sayuran","Suhu (°C)","15 - 23",,,est
30,"Kol Bunga","Sayuran","Kelembaban (%)","50 - 75",,,est
30,"Kol Bunga","Sayuran","EC (µS/cm)","700 - 2050",,,est
30,"Kol Bunga","Sayuran","Nitrogen (mg/kg)","100 - 250",,,est
30,"Kol Bunga","Sayuran","Fosfor (mg/kg)","35 - 98",,,est
30,"Kol Bunga","Sayuran","Kalium (mg/kg)","145 - 320",,,est
31,"Seledri","Sayuran","pH","6 - 7",,,est
31,"Seledri","Sayuran","Suhu (°C)","15 - 24",,,est
31,"Seledri","Sayuran","Kelembaban (%)","55 - 80",,,est
31,"Seledri","Sayuran","EC (µS/cm)","750 - 2000",,,est
31,"Seledri","Sayuran","Nitrogen (mg/kg)","90 - 240",,,est
31,"Seledri","Sayuran","Fosfor (mg/kg)","30 - 95",,,est
31,"Seledri","Sayuran","Kalium (mg/kg)","140 - 320",,,est
32,"Peterseli","Sayuran","pH","6 - 7",,,est
32,"Peterseli","Sayuran","Suhu (°C)","15 - 25",,,est
32,"Peterseli","Sayuran","Kelembaban (%)","45 - 70",,,est
32,"Peterseli","Sayuran","EC (µS/cm)","650 - 1800",,,est
32,"Peterseli","Sayuran","Nitrogen (mg/kg)","80 - 210",,,est
32,"Peterseli","Sayuran","Fosfor (mg/kg)","30 - 85",,,est
32,"Peterseli","Sayuran","Kalium (mg/kg)","130 - 290",,,est
33,"Arugula","Sayuran","pH","6 - 7",,,est
33,"Arugula","Sayuran","Suhu (°C)","15 - 26",,,est
33,"Arugula","Sayuran","Kelembaban (%)","45 - 70",,,est
33,"Arugula","Sayuran","EC (µS/cm)","650 - 1900",,,est
33,"Arugula","Sayuran","Nitrogen (mg/kg)","85 - 220",,,est
33,"Arugula","Sayuran","Fosfor (mg/kg)","30 - 88",,,est
33,"Arugula","Sayuran","Kalium (mg/kg)","130 - 300",,,est
34,"Zucchini","Sayuran","pH","5.8 - 7",,,est
34,"Zucchini","Sayuran","Suhu (°C)","20 - 30",,,est
34,"Zucchini","Sayuran","Kelembaban (%)","50 - 78",,,est
34,"Zucchini","Sayuran","EC (µS/cm)","900 - 2400",,,est
34,"Zucchini","Sayuran","Nitrogen (mg/kg)","110 - 280",,,est
34,"Zucchini","Sayuran","Fosfor (mg/kg)","40 - 110",,,est
34,"Zucchini","Sayuran","Kalium (mg/kg)","160 - 380",,,est
35,"Okra (Labia)","Sayuran","pH","5.8 - 7",,,est
35,"Okra (Labia)","Sayuran","Suhu (°C)","24 - 33",,,est
35,"Okra (Labia)","Sayuran","Kelembaban (%)","45 - 72",,,est
35,"Okra (Labia)","Sayuran","EC (µS/cm)","800 - 2200",,,est
35,"Okra (Labia)","Sayuran","Nitrogen (mg/kg)","90 - 240",,,est
35,"Okra (Labia)","Sayuran","Fosfor (mg/kg)","35 - 100",,,est
35,"Okra (Labia)","Sayuran","Kalium (mg/kg)","150 - 350",,,est
36,"Labu Siam","Sayuran","pH","5.5 - 7",,,est
36,"Labu Siam","Sayuran","Suhu (°C)","20 - 30",,,est
36,"Labu Siam","Sayuran","Kelembaban (%)","45 - 75",,,est
36,"Labu Siam","Sayuran","EC (µS/cm)","750 - 2100",,,est
36,"Labu Siam","Sayuran","Nitrogen (mg/kg)","90 - 240",,,est
36,"Labu Siam","Sayuran","Fosfor (mg/kg)","35 - 100",,,est
36,"Labu Siam","Sayuran","Kalium (mg/kg)","150 - 350",,,est
37,"Labu Kuning","Sayuran","pH","5.8 - 7",,,est
37,"Labu Kuning","Sayuran","Suhu (°C)","21 - 31",,,est
37,"Labu Kuning","Sayuran","Kelembaban (%)","48 - 76",,,est
37,"Labu Kuning","Sayuran","EC (µS/cm)","780 - 2150",,,est
37,"Labu Kuning","Sayuran","Nitrogen (mg/kg)","92 - 245",,,est
37,"Labu Kuning","Sayuran","Fosfor (mg/kg)","34 - 102",,,est
37,"Labu Kuning","Sayuran","Kalium (mg/kg)","152 - 370",,,est
38,"Oyong","Sayuran","pH","5.8 - 7",,,est
38,"Oyong","Sayuran","Suhu (°C)","22 - 32",,,est
38,"Oyong","Sayuran","Kelembaban (%)","50 - 78",,,est
38,"Oyong","Sayuran","EC (µS/cm)","750 - 2100",,,est
